City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port elizabeth,-33.918,25.5701,19.06,99,100,1.54,ZA,1682483699
83,karaton,-6.3424,106.1045,31.6,57,99,0.92,ID,1682483700
84,extrema,-22.8547,-46.3183,14.14,93,13,1.79,BR,1682483700
85,betio village,1.358,172.9211,30.02,75,29,4.11,KI,1682483701
86,tamanrasset,22.785,5.5228,17.95,16,0,2.57,DZ,1682483702
87,margaret river,-33.95,115.0667,17.54,72,98,6.23,AU,1682483703
88,bethel,41.3712,-73.414,7.57,77,0,0.0,US,1682483547
89,longyearbyen,78.2186,15.6401,-7.09,73,0,2.06,SJ,1682483704
90,punta arenas,-53.15,-70.9167,6.06,65,75,5.14,CL,1682483552
91,atafu village,-8.5421,-172.5159,29.18,75,67,6.18,TK,1682483705
92,zaranj,30.9667,61.8833,28.98,14,98,1.58,AF,1682483706
93,mogadishu,2.0371,45.3438,27.76,78,99,4.43,SO,1682483539
94,nova sintra,14.8667,-24.7167,20.13,75,3,7.57,CV,1682483549
95,hithadhoo,-0.6,73.0833,29.31,75,100,6.65,MV,1682483708
96,stanley,54.868,-1.6985,0.98,91,100,1.03,GB,1682483709
97,magadan,59.5667,150.8,1.22,73,35,2.11,RU,1682483684
98,lodja,-3.4833,23.4333,20.7,96,100,0.59,CD,1682483710
99,matoury,4.8483,-52.3317,23.98,94,75,0.51,GF,1682483711
100,lospalos,-8.5186,127.0025,27.24,72,99,4.18,TL,1682483711
101,georgetown,5.4112,100.3354,32.96,70,20,4.12,MY,1682483584
102,ribeira grande,38.5167,-28.7,17.1,95,100,6.26,PT,1682483713
103,salalah,17.0151,54.0924,30.05,66,20,2.57,OM,1682483713
104,barra de santo antonio,-9.4047,-35.5072,23.6,85,100,1.17,BR,1682483714
105,lautoka,-17.6167,177.4667,26.92,83,75,4.63,FJ,1682483715
106,rajin,42.2489,130.3003,12.14,44,93,2.32,KP,1682483715
107,afaahiti,-17.75,-149.2833,26.7,84,100,4.89,PF,1682483716
108,qarqaraly,49.4058,75.4742,14.85,36,11,3.64,KZ,1682483717
109,nueva gerona,21.8833,-82.8,25.95,69,35,0.85,CU,1682483718
110,tolanaro,-25.0319,46.9987,19.04,77,20,2.06,MG,1682483718
111,jamestown,42.097,-79.2353,4.77,91,100,1.54,US,1682483631
112,san fernando,15.0286,120.6898,32.85,52,60,3.15,PH,1682483720
113,ulanhot,46.0833,122.0833,16.19,12,43,9.79,CN,1682483720
114,arar,30.9753,41.0381,19.01,42,0,5.14,SA,1682483721
115,xianning,29.8833,114.2167,21.41,52,16,1.36,CN,1682483722
116,vorgashor,67.5833,63.95,-6.12,93,63,6.06,RU,1682483517
117,oamaru,-45.0784,170.9801,12.43,60,18,6.49,NZ,1682483723
118,carnarvon,-24.8667,113.6333,21.96,48,0,6.67,AU,1682483724
119,la'ie,21.6477,-157.9253,26.98,75,96,2.24,US,1682483725
120,makokou,0.5738,12.8642,20.13,99,96,0.96,GA,1682483725
121,kapa'a,22.0752,-159.319,25.99,74,75,5.66,US,1682483726
122,egilsstadir,65.2653,-14.3948,-3.05,86,75,2.06,IS,1682483727
123,enriquillo,17.9,-71.2333,24.33,85,49,1.28,DO,1682483727
124,salinas,36.6777,-121.6555,15.87,70,0,5.14,US,1682483492
125,arraial do cabo,-22.9661,-42.0278,22.92,94,20,3.6,BR,1682483516
126,alice springs,-23.7,133.8833,29.75,26,40,2.57,AU,1682483442
127,pruzhany,52.5567,24.4644,4.18,94,100,8.54,BY,1682483730
128,klerksdorp,-26.8521,26.6667,15.03,53,0,0.6,ZA,1682483731
129,la sarre,48.8002,-79.1996,-0.33,99,99,1.34,CA,1682483731
130,saint-pierre,-21.3393,55.4781,28.09,88,75,2.06,RE,1682483732
131,puerto natales,-51.7236,-72.4875,3.43,85,100,2.32,CL,1682483526
132,lebu,-37.6167,-73.65,14.03,81,100,1.04,CL,1682483539
133,barcelos,41.5388,-8.6151,15.47,94,98,1.27,PT,1682483657
134,luena,-11.7833,19.9167,15.1,94,72,2.06,AO,1682483735
135,porto novo,6.4965,2.6036,26.9,88,100,2.04,BJ,1682483735
136,narva,59.3772,28.1903,11.15,69,11,3.02,EE,1682483736
137,port lincoln,-34.7333,135.8667,25.84,37,98,7.71,AU,1682483737
138,thunder bay,48.4001,-89.3168,-2.01,80,20,13.89,CA,1682483562
139,tosontsengel,48.7567,98.2839,-3.49,21,65,11.4,MN,1682483738
140,sukhinichi,54.0999,35.3425,11.19,73,100,2.6,RU,1682483739
141,peniche,39.3558,-9.3811,14.4,95,54,3.32,PT,1682483740
142,sitka,57.0531,-135.33,6.94,57,100,6.17,US,1682483740
143,walvis bay,-22.9575,14.5053,15.05,94,100,3.6,NA,1682483741
144,isafjordur,66.0755,-23.124,-2.02,65,13,2.35,IS,1682483562
145,basco,20.4487,121.9702,25.28,75,22,4.41,PH,1682483742
146,ust-nera,64.5667,143.2,-0.27,79,30,1.57,RU,1682483541
147,antofagasta,-23.65,-70.4,15.6,83,23,2.78,CL,1682483551
